UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL515035,15,10,25,65,57,117,21,19,36,0,0,0,81,70,154,37,33,65,4,16,22,4,0,3,41,45,90,0,0,0,0,0,0,3,3,8,0,7,7,0,0,0,8,9,18,0,4,4,0,0,0,0,0,0,3,10,10,0,0,0,3,11,12,0,0,0,3,5,10,0,0,0,7,10,14,214,61,276,365,216,588
UCL515036,12,13,28,82,73,155,6,10,15,3,11,12,88,93,180,60,49,110,13,9,19,8,4,15,76,66,140,0,3,5,0,0,0,5,4,11,6,11,17,0,0,0,9,28,41,4,5,7,0,0,0,0,0,0,5,11,12,0,0,0,9,10,19,3,4,4,3,6,11,0,0,0,8,7,10,161,154,314,365,367,730
UCL521001,5,10,12,30,18,47,3,8,9,0,0,3,36,26,60,18,14,40,4,5,11,4,4,3,24,24,48,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,4,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,5,5,0,0,0,0,5,5,16,25,39,94,90,183
UCL521002,3,3,3,34,24,57,0,4,5,0,0,4,37,26,66,17,17,30,0,0,0,0,3,3,18,20,39,0,0,3,0,0,0,0,0,0,3,4,4,0,0,0,3,11,10,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,4,7,0,0,3,0,0,0,0,0,0,4,0,6,27,23,44,92,84,178
UCL521003,6,3,10,28,28,53,3,0,0,0,0,0,28,29,60,9,19,29,4,5,4,3,3,4,20,24,43,0,0,3,0,0,0,3,0,3,0,4,4,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,5,65,67,134,126,138,261
UCL521004,8,13,22,51,31,84,0,0,0,0,0,0,51,33,79,20,29,46,3,0,3,0,0,0,23,30,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,13,14,30,92,89,181
UCL521005,6,3,12,54,60,116,0,0,0,0,0,0,54,60,116,21,34,59,0,0,0,0,0,0,21,34,59,0,0,0,0,0,0,3,3,7,0,0,7,0,0,0,7,5,15,3,0,3,0,0,0,0,4,4,3,7,5,0,0,0,7,6,11,0,0,0,3,10,9,0,0,0,3,11,13,46,38,77,147,155,306
UCL521006,6,3,6,17,25,43,10,14,17,3,10,14,33,45,73,9,24,33,0,3,9,4,3,14,22,30,48,0,0,0,0,0,0,6,0,6,3,3,8,0,0,0,5,8,13,0,5,5,0,0,0,0,0,0,4,0,7,0,0,0,3,4,10,0,0,0,0,3,3,0,0,0,0,3,3,32,26,55,99,111,207
UCL521007,4,4,8,7,15,22,3,11,9,0,0,0,15,18,33,12,9,26,3,0,6,0,0,0,14,16,27,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,7,0,3,3,0,3,3,0,0,0,0,3,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,30,39,71,66,91,154
UCL521008,4,0,10,25,20,45,0,0,0,0,3,3,25,21,49,6,4,9,0,0,0,0,0,0,6,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,3,7,0,0,0,0,4,5,0,0,0,3,0,3,0,0,0,3,0,4,35,50,90,72,94,171
UCL521009,3,6,5,17,11,36,0,0,0,0,0,0,23,11,37,14,8,20,0,0,0,0,0,0,14,8,20,0,0,0,0,0,0,3,0,4,3,3,9,0,0,0,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,3,0,0,0,3,3,7,32,25,54,69,65,130
UCL521010,6,4,11,21,16,35,5,7,9,0,0,4,30,23,48,25,17,36,3,4,14,0,0,5,30,25,54,3,4,3,0,6,6,0,3,5,0,0,4,0,0,0,3,12,12,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,50,37,90,119,108,233
UCL521011,8,13,16,15,25,48,8,6,19,11,4,12,36,42,73,11,9,18,3,0,5,5,3,10,19,14,36,0,3,0,0,0,0,0,3,8,4,0,0,0,0,0,7,5,14,3,0,3,0,3,0,0,0,0,3,3,3,0,0,0,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,17,28,43,94,109,201
UCL521012,0,0,0,9,13,20,0,0,0,0,3,3,14,12,31,4,8,5,0,3,7,3,0,7,4,13,16,0,0,3,0,3,3,3,0,3,0,3,7,0,0,0,4,5,12,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,32,26,56,61,70,128
UCL521013,5,0,7,17,9,29,5,4,8,6,19,23,33,28,59,9,12,19,4,0,4,24,23,42,32,35,66,0,0,3,0,0,0,4,3,8,0,0,0,0,0,0,5,3,6,6,10,15,0,0,3,3,0,3,0,0,0,0,0,0,11,9,21,0,8,6,0,0,0,0,0,0,5,8,9,23,19,46,105,107,212
UCL521014,0,3,7,17,8,31,0,0,0,0,0,0,17,8,31,4,3,8,0,3,3,0,0,0,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,32,30,61,64,63,120
UCL521015,3,7,8,54,34,84,0,0,0,0,7,7,52,47,94,26,24,55,0,0,3,9,3,13,37,33,65,5,0,5,0,0,0,4,0,3,3,10,8,0,0,0,12,7,22,3,9,10,0,0,0,0,0,0,0,7,7,0,0,0,3,17,14,0,0,0,0,0,3,0,0,0,0,3,3,36,32,67,141,139,282
UCL521016,4,3,3,15,14,28,0,6,5,5,14,22,30,34,57,7,13,18,4,8,12,22,17,37,30,29,64,0,0,0,0,3,3,0,0,0,4,9,10,0,0,0,3,6,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,0,0,3,3,0,3,0,0,0,3,0,4,52,57,114,124,136,265
UCL521017,5,3,10,35,30,60,0,0,0,0,0,0,35,30,60,16,7,19,0,0,0,3,0,5,20,6,21,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,45,36,82,102,88,196
UCL521018,3,7,10,22,29,54,0,0,0,7,0,7,32,31,66,14,18,34,7,0,7,4,8,12,25,29,51,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,5,8,13,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,55,44,90,117,119,238
UCL521019,3,6,14,31,25,56,0,0,0,0,0,0,31,31,59,15,10,23,0,0,0,3,0,9,20,10,29,4,0,4,0,0,0,0,4,7,0,0,3,0,0,0,10,4,13,0,0,0,4,3,6,0,0,0,0,0,3,0,0,0,0,4,5,0,0,3,0,4,7,0,0,0,3,3,9,33,26,58,94,77,171
UCL521020,0,3,5,30,24,55,0,0,0,0,0,0,30,24,55,16,5,23,0,0,0,0,0,0,16,8,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,31,27,66,81,74,156
UCL521021,3,4,4,18,23,49,3,0,3,3,4,7,27,31,52,9,12,24,6,7,10,6,3,9,25,17,45,0,0,0,0,0,0,0,3,3,0,4,6,0,0,0,7,9,12,4,3,6,0,0,3,0,0,0,0,4,4,0,0,0,6,5,13,3,0,3,0,5,5,0,0,0,3,4,10,24,21,48,88,91,186
UCL521022,11,5,17,34,37,72,8,3,12,0,5,8,46,45,86,13,13,28,0,4,4,4,3,5,20,22,46,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,7,13,0,4,6,0,3,3,0,0,0,0,6,9,0,0,0,3,9,11,0,0,0,0,3,4,0,0,0,0,4,3,35,42,79,114,132,250
UCL521023,3,8,7,12,22,33,8,12,22,3,3,8,31,37,68,31,23,51,0,0,3,3,6,6,35,32,60,3,0,3,0,0,0,0,0,0,3,5,7,0,0,0,10,5,16,0,3,3,0,3,0,0,0,0,4,6,9,0,0,0,7,10,15,0,0,0,0,0,4,0,0,0,0,0,4,42,39,78,122,130,252
UCL521024,5,4,4,22,25,49,0,0,0,3,4,4,22,29,50,4,3,8,0,0,0,9,5,15,14,9,29,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,0,3,0,0,0,3,0,3,38,27,60,83,81,157
UCL521025,3,5,7,8,12,20,17,11,26,0,0,0,21,22,42,5,3,11,0,3,8,0,0,0,10,10,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,44,42,91,75,93,167
UCL521026,4,4,10,52,47,103,20,24,47,0,0,0,74,75,150,40,21,62,3,3,6,0,3,3,44,26,73,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,13,16,0,0,3,0,0,0,0,0,0,0,0,3,163,173,338,296,303,600
UCL521027,11,5,15,11,12,24,5,13,23,11,16,25,29,41,68,17,9,30,3,4,10,9,14,24,28,34,61,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,4,3,11,5,0,5,0,0,0,0,5,4,0,3,3,0,0,0,4,12,15,0,0,0,0,0,0,0,0,4,0,3,3,14,10,24,92,106,192
UCL521028,3,4,4,25,18,49,0,0,0,0,0,0,25,18,49,3,5,9,0,0,0,3,0,3,10,10,18,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,8,31,37,70,77,78,150
UCL521029,5,5,15,28,13,40,5,0,3,16,11,22,41,22,66,9,17,19,3,3,4,7,16,20,19,36,50,3,3,3,0,3,3,0,0,4,3,0,4,0,0,0,6,7,14,4,4,7,0,0,0,0,0,0,0,0,4,0,0,0,7,5,14,0,0,0,0,3,3,0,0,0,0,3,3,30,36,64,114,113,227
UCL521030,3,3,7,27,30,56,0,0,3,0,0,0,29,32,60,19,18,38,3,0,0,3,0,3,21,22,41,0,4,7,0,0,0,0,0,3,3,6,8,0,0,0,3,9,17,0,0,0,0,0,3,0,0,0,3,3,5,0,0,0,4,4,8,0,0,0,0,4,4,0,0,0,0,4,4,102,38,141,169,115,283
UCL521031,7,0,6,40,36,76,0,0,3,0,3,8,40,43,82,19,19,40,0,0,0,4,0,7,23,19,42,0,0,3,0,0,0,0,0,3,0,5,6,0,0,0,3,8,13,0,0,0,3,4,4,0,3,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,5,0,0,0,0,0,5,50,57,100,126,140,265
UCL521032,11,4,14,20,36,58,20,18,40,0,0,0,40,52,95,24,20,40,0,0,0,0,0,0,24,21,42,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,3,9,7,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,3,0,0,0,0,0,3,67,74,139,142,162,305
UCL521033,4,0,3,17,26,37,0,0,0,0,0,0,17,26,37,8,5,19,0,0,0,0,0,0,8,7,19,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,25,35,59,62,78,135
UCL521034,0,3,3,22,23,45,0,0,0,0,0,0,22,25,45,8,8,12,0,4,4,3,6,4,11,15,24,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,37,84,79,77,161
UCL521035,0,3,5,21,22,43,0,0,0,0,0,0,21,22,43,10,3,9,0,0,0,0,0,0,10,3,9,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,79,57,137,118,86,207
UCL521036,4,3,10,48,27,74,0,0,0,0,0,0,48,30,73,12,18,30,0,3,4,0,0,0,15,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,17,72,63,137
UCL521037,6,3,10,15,17,34,5,4,10,3,5,14,25,26,54,8,12,19,11,6,19,0,5,8,22,27,49,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,3,9,4,7,10,0,5,5,3,0,3,0,0,0,0,0,0,3,14,17,0,0,0,0,0,0,0,0,0,0,0,0,40,32,74,103,113,210
UCL521038,4,3,10,17,10,27,0,0,0,0,0,0,17,10,27,8,10,17,0,0,0,0,3,3,8,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,3,78,71,143,112,102,214
UCL521039,5,4,8,26,16,38,0,0,0,0,0,3,28,15,40,37,28,61,0,0,0,3,0,3,36,28,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,58,99,81,179
UCL521040,3,3,4,21,26,46,3,6,7,3,5,10,30,36,65,32,14,45,3,0,3,10,3,10,37,15,58,3,0,3,0,0,0,0,3,5,0,0,0,0,0,0,7,7,12,3,0,5,0,0,0,0,0,0,0,4,4,0,0,0,3,7,9,0,0,3,0,7,7,0,0,0,0,3,8,35,28,65,113,104,217
UCL521041,10,9,17,23,34,63,3,3,8,23,17,40,47,58,102,34,32,64,3,4,5,17,20,36,54,57,110,0,0,3,0,0,0,7,7,8,0,5,7,0,0,0,6,13,19,3,3,5,0,4,4,3,0,3,3,3,6,0,0,0,8,13,21,4,0,3,0,3,3,0,0,0,5,5,10,78,57,133,218,208,423
UCL521042,4,3,3,29,11,42,0,0,0,0,0,0,29,13,45,11,7,19,0,0,0,3,3,3,15,12,25,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,31,32,56,78,68,143
UCL521043,3,0,3,21,36,59,0,0,0,0,0,0,20,36,60,13,3,19,0,0,0,0,0,0,13,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,63,69,79,150
UCL521044,7,8,16,32,35,63,8,7,7,0,3,3,43,41,78,16,24,44,0,0,7,0,6,8,23,32,51,0,3,3,0,7,9,7,0,7,4,8,6,0,0,0,10,13,21,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,0,3,0,0,0,0,3,8,10,41,48,92,130,151,272
UCL521045,0,10,10,19,20,36,6,8,17,0,0,0,24,27,51,8,14,23,3,5,4,0,0,0,13,18,33,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,56,49,99,98,111,207
UCL521046,0,3,8,29,18,44,0,0,0,6,14,23,32,28,67,35,25,56,0,0,0,3,5,6,32,34,66,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,9,3,9,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,7,12,0,0,0,0,3,3,0,0,0,0,3,3,31,31,63,115,110,220
UCL521047,6,3,7,22,31,58,0,0,0,0,0,0,22,31,58,9,16,23,0,0,0,3,0,4,17,17,31,0,0,0,0,0,0,0,3,0,3,5,10,0,0,0,3,6,15,0,0,0,0,0,3,0,0,0,4,6,7,0,0,0,4,7,13,0,0,0,0,3,3,0,0,0,0,3,4,60,58,118,119,125,249
UCL521048,11,6,15,47,52,106,0,0,0,0,3,4,51,56,108,3,3,4,0,0,0,0,0,0,3,8,7,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,3,7,12,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,11,9,0,4,4,0,0,0,0,0,0,0,3,3,28,26,54,99,112,208
UCL521049,4,10,12,17,23,47,13,9,18,0,0,0,31,35,65,27,20,43,7,0,13,0,0,0,28,22,58,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,7,3,13,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,4,39,34,67,114,107,221
UCL521050,3,3,10,25,30,57,0,0,0,3,0,3,29,32,64,18,13,29,0,0,0,3,0,3,18,13,34,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,103,104,113,220
UCL521051,10,0,6,23,19,40,0,0,0,0,0,0,23,23,43,12,4,20,0,0,0,0,0,0,12,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,32,33,68,72,66,139
UCL521052,0,7,9,28,32,57,3,3,8,0,0,0,33,35,60,22,19,44,3,0,3,0,3,3,23,26,49,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,42,35,79,101,103,210
UCL521053,4,6,10,53,52,110,0,3,4,7,4,12,65,67,127,39,22,66,7,3,6,19,16,35,63,41,105,0,4,4,0,0,0,3,4,5,0,0,0,0,0,0,6,3,15,3,9,10,0,3,3,0,4,4,4,3,5,0,0,0,3,12,21,0,0,0,0,0,0,0,0,0,0,0,0,56,55,112,206,189,393
UCL521054,3,3,6,14,15,31,5,12,14,0,0,0,19,25,46,11,11,24,0,0,0,0,0,0,11,11,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,36,81,87,80,163
UCL521055,5,4,8,30,21,51,0,8,11,3,3,6,33,26,62,7,19,28,3,7,12,0,0,3,16,27,36,0,0,0,0,0,0,0,0,3,0,4,10,0,0,0,3,11,17,0,0,0,0,4,4,0,0,0,0,7,7,0,0,0,0,15,15,6,3,3,0,3,3,0,0,0,6,7,8,60,63,121,118,146,266
UCL521056,3,9,12,30,18,45,0,0,0,0,0,0,30,18,45,17,10,26,0,0,0,0,0,0,17,10,26,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,41,43,88,96,93,184
UCL521057,7,8,13,40,31,67,0,0,0,0,3,3,39,30,74,16,11,27,0,0,0,0,0,0,16,11,27,0,0,0,0,0,0,0,3,3,3,3,4,0,0,0,5,7,12,3,0,6,0,0,3,0,0,0,0,8,8,0,0,0,3,9,12,0,0,0,0,6,6,0,0,0,0,3,3,24,14,38,97,82,174
UCL521058,0,5,3,22,24,51,0,0,0,5,5,8,27,31,60,10,18,30,3,6,11,3,0,6,21,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,3,3,0,0,0,0,3,3,0,0,0,0,9,11,0,0,3,0,0,0,0,0,0,0,3,4,29,37,69,88,110,197
UCL521059,10,3,12,30,41,68,0,5,4,4,3,7,33,49,79,27,39,63,3,0,3,0,0,4,31,37,75,0,3,4,0,0,0,0,5,3,0,0,5,0,0,0,4,8,8,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,3,5,6,0,0,0,0,4,5,0,0,0,0,4,8,39,48,91,121,158,284
UCL521060,3,0,8,17,16,36,13,8,19,3,3,5,34,24,58,10,17,24,0,0,3,0,7,4,9,21,33,0,0,0,0,0,0,0,0,3,3,4,3,0,0,0,4,8,13,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,40,56,92,96,119,215
UCL522001,3,0,3,0,3,3,6,10,14,0,0,0,6,9,20,0,0,3,0,5,5,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,87,158,83,108,191
UCL522002,0,3,3,0,3,9,0,0,0,4,0,4,4,3,11,3,7,7,0,0,0,0,0,0,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,10,15,20,21,33,58
UCL522003,4,3,11,25,20,44,0,0,0,0,0,0,25,20,44,12,12,25,0,0,0,0,8,8,12,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,32,23,61,80,71,150
UCL522004,0,0,0,34,23,55,0,0,0,0,0,0,34,23,55,11,19,29,0,0,0,0,0,0,11,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,26,60,57,118
UCL522005,0,0,0,0,0,0,26,24,51,0,0,0,23,24,50,0,3,3,4,9,18,0,0,0,8,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,68,78,67,140
UCL522006,4,0,4,3,7,10,3,0,3,16,3,17,18,7,31,8,5,15,3,3,9,9,9,21,24,19,46,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,5,7,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,13,17,0,0,0,0,0,0,0,0,0,0,0,0,15,18,37,73,65,136
UCL522007,0,0,0,0,6,12,0,0,0,0,0,0,0,6,12,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,31,24,31,52
UCL522008,0,0,0,5,7,15,0,0,3,0,0,0,8,13,15,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,25,22,43,39,39,74
UCL522009,4,3,3,13,6,21,0,0,0,0,0,0,13,6,21,7,21,28,0,3,3,0,4,3,8,22,33,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,20,42,45,60,108
UCL522010,0,3,3,9,12,22,8,4,19,6,3,12,31,18,51,12,8,21,5,3,7,9,13,25,22,27,51,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,65,30,94,125,84,207
UCL522011,4,0,3,6,11,16,0,0,0,0,0,3,12,12,19,4,3,12,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,32,38,29,72
